,Week,Total Investment,Total Investment_SMA_3,Total Investment_SMA_5,Total Investment_EMA_8,Total_Investment_Ad_Stock,TV,TV_SMA_3,TV_SMA_5,TV_EMA_8,TV_Ad_Stock,Digital,Digital_SMA_3,Digital_SMA_5,Digital_EMA_8,Digital_Ad_Stock,Sponsorship,Sponsorship_SMA_3,Sponsorship_SMA_5,Sponsorship_EMA_8,Sponsorship_Ad_Stock,Content Marketing,Content Marketing_SMA_3,Content Marketing_SMA_5,Content Marketing_EMA_8,Content_Marketing_Ad_Stock,Online marketing,Online marketing_SMA_3,Online marketing_SMA_5,Online marketing_EMA_8,Online_marketing_Ad_Stock,Affiliates,Affiliates_SMA_3,Affiliates_SMA_5,Affiliates_EMA_8,Affiliates_Ad_Stock,SEM,SEM_SMA_3,SEM_SMA_5,SEM_EMA_8,SEM_Ad_Stock,Radio,Radio_SMA_3,Radio_SMA_5,Radio_EMA_8,Radio_Ad_Stock,Other,Other_SMA_3,Other_SMA_5,Other_EMA_8,Other_Ad_Stock
20,48,10.243,10.243000000000018,16.702200000000012,18.503246536989245,35.171331070608815,0.844,0.8440000000000007,0.9824000000000005,0.9746897185582737,2.305187644726468,0.255,0.25499999999999984,0.8352000000000004,0.9405613815652542,1.458810179406158,2.834,2.8339999999999996,6.500800000000001,8.074710283455692,12.71181601581094,0.034,0.03400000000000003,0.19939999999999994,0.23432759609592824,0.3223861775564799,3.912,3.9120000000000004,4.348199999999999,4.2474213409141885,10.38071514376276,1.319,1.3190000000000002,1.4038000000000008,1.3501666583831469,3.407863514684912,1.044,1.0440000000000011,2.4315999999999987,2.680869427960392,4.582418330218717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,49,10.243,10.243000000000018,10.24300000000001,16.66763619543608,31.34579864236529,0.844,0.8440000000000007,0.8440000000000005,0.9456475588786573,2.2271125868358808,0.255,0.25499999999999984,0.25500000000000034,0.7882144078840866,1.1302861076436947,2.834,2.8339999999999996,2.834000000000002,6.9101079982433165,10.461089609486564,0.034,0.03400000000000003,0.03399999999999994,0.18981035251905531,0.22743170653388795,3.912,3.9120000000000004,3.911999999999999,4.17288326515548,10.140429086257656,1.319,1.3190000000000002,1.3190000000000008,1.343240734298003,3.363718108810947,1.044,1.0440000000000011,1.043999999999999,2.317120666191416,3.79345099813123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,50,26.686,15.724000000000018,13.531600000000008,18.893939263116952,45.493479185419176,1.349,1.012333333333334,0.9450000000000005,1.0352814346834,2.6852675521015286,0.766,0.4253333333333333,0.35720000000000035,0.783277872798734,1.4441716645862168,14.176,6.614666666666666,5.102400000000002,8.524750665300356,20.452653765691938,0.267,0.11166666666666669,0.08059999999999994,0.2069636075148208,0.4034590239203328,5.626,4.483333333333334,4.2547999999999995,4.4957980951209295,11.710257451754593,1.707,1.4483333333333335,1.396600000000001,1.4240761266762245,3.7252308652865684,2.795,1.6276666666666675,1.3941999999999986,2.4233160737044344,5.0710705988787375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,51,26.686,21.20500000000002,16.82020000000001,20.625508315757628,53.98208751125151,1.349,1.1806666666666674,1.0460000000000005,1.1049966714204222,2.960160531260917,0.766,0.5956666666666667,0.45940000000000036,0.7794383455101264,1.63250299875173,14.176,10.395333333333332,7.370800000000001,9.780583850789167,26.447592259415163,0.267,0.18933333333333335,0.12719999999999992,0.22030502806708285,0.5090754143521996,5.626,5.054666666666669,4.5976,4.746954073982945,12.652154471052757,1.707,1.5776666666666668,1.474200000000001,1.4869480985259524,3.942138519171941,2.795,2.211333333333334,1.7443999999999984,2.5059125017701156,5.837642359327242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,52,26.686,26.68600000000002,20.108800000000013,21.972284245589265,59.0752525067509,1.349,1.3490000000000004,1.1470000000000005,1.159219633326995,3.12509631875655,0.766,0.766,0.5616000000000004,0.7764520465078761,1.745501799251038,14.176,14.175999999999997,9.6392,10.757342995058242,30.044555355649095,0.267,0.267,0.17379999999999993,0.23068168849662002,0.5724452486113198,5.626,5.626000000000002,4.9404,4.942297613097846,13.217292682631655,1.707,1.707,1.551800000000001,1.5358485210757409,4.072283111503165,2.795,2.7950000000000004,2.0945999999999985,2.5701541680434232,6.297585415596345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,53,26.686,26.686000000000018,23.397400000000015,23.019776635458314,62.131151504050536,1.349,1.3490000000000004,1.2480000000000004,1.2013930481432185,3.22405779125393,0.766,0.766,0.6638000000000004,0.774129369506126,1.8133010795506228,14.176,14.175999999999997,11.9076,11.517044551711965,32.20273321338946,0.267,0.267,0.22039999999999993,0.23875242438626004,0.6104671491667919,5.626,5.626000000000002,5.283200000000001,5.094231476853881,13.556375609578993,1.707,1.707,1.629400000000001,1.5738821830589096,4.150369866901899,2.795,2.7950000000000004,2.444799999999998,2.620119908478218,6.5735512493578065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,18.549,23.973666666666684,25.05860000000002,22.02627071646758,55.82769090243032,1.095,1.2643333333333338,1.2982000000000002,1.1777501485558366,3.029434674752358,0.114,0.5486666666666666,0.6356000000000004,0.6274339540603202,1.2019806477303738,1.05,9.800666666666663,11.550799999999999,9.191034651331528,20.371639928033673,0.225,0.253,0.25859999999999994,0.23569633007820226,0.5912802895000752,5.725,5.6590000000000025,5.645800000000001,5.234402259775241,13.858825365747395,1.842,1.7520000000000004,1.734000000000001,1.6334639201569296,4.332221920141139,1.05,2.2133333333333343,2.4459999999999984,2.271204373260836,4.994130749614683,0.675,0.225,0.135,0.15,0.675,6.773,2.2576666666666667,1.3546,1.505111111111111,6.773
27,2,18.549,21.26133333333335,23.43120000000002,21.253543890585895,52.04561454145819,1.095,1.1796666666666669,1.2474000000000003,1.1593612266545397,2.9126608048514147,0.114,0.3313333333333333,0.5052000000000004,0.5133375198246936,0.8351883886382243,1.05,5.42533333333333,8.9256,7.381915839924521,13.272983956820203,0.225,0.239,0.2502,0.23331936783860174,0.5797681737000451,5.725,5.692000000000001,5.665600000000001,5.343423979825187,14.040295219448437,1.842,1.7970000000000004,1.761000000000001,1.6798052712331675,4.441333152084683,1.05,1.6316666666666675,2.0969999999999986,1.999825623647317,4.04647844976881,0.675,0.45,0.27,0.26666666666666666,1.08,6.773,4.515333333333333,2.7092,2.675753086419753,10.8368
28,3,18.549,18.549000000000017,21.803800000000017,20.652534137122363,49.776368724874914,1.095,1.095,1.1966,1.1450587318424197,2.8425964829108485,0.114,0.11400000000000003,0.37480000000000036,0.4245958487525394,0.6151130331829345,1.05,1.0499999999999965,6.300399999999998,5.974823431052406,9.013790374092123,0.225,0.22499999999999998,0.24180000000000001,0.23147061943002356,0.572860904220027,5.725,5.7250000000000005,5.6854000000000005,5.428218650975145,14.149177131669061,1.842,1.8420000000000003,1.788000000000001,1.7158485442924636,4.506799891250809,1.05,1.0500000000000007,1.7479999999999987,1.7887532628368024,3.4778870698612865,0.675,0.6750000000000002,0.4050000000000001,0.3574074074074074,1.323,6.773,6.773,4.0638,3.5862524005486964,13.275079999999999
29,4,18.549,18.549000000000017,20.17640000000002,20.185082106650725,48.41482123492494,1.095,1.095,1.1458,1.133934569210771,2.800557889746509,0.114,0.11400000000000003,0.2444000000000004,0.3555745490297529,0.4830678199097607,1.05,1.0499999999999965,3.6751999999999967,4.880418224151872,6.458274224455273,0.225,0.22499999999999998,0.23340000000000005,0.23003270400112943,0.5687165425320162,5.725,5.724999999999999,5.7052,5.494170061869557,14.214506279001435,1.842,1.8419999999999999,1.8150000000000008,1.7438822011163606,4.546079934750486,1.05,1.0500000000000007,1.3989999999999987,1.6245858710952907,3.1367322419167722,0.675,0.6750000000000002,0.54,0.42798353909465014,1.4687999999999999,6.773,6.773,5.4184,4.294418533760097,14.738048
